Building Name,Street Address,City,State,Postal,Country,MSA Name,Latitude,Longitude,Elevation,Serving Wire Center CLLI,Building CLLI,Network Build Status,Building Connection Status,Building Category,NPA,NXX,LATA,Demarc Code,Fiber Ownership,Access Medium,Install Interval,Supplier Name,Access Customer Name,Access Floor,Access Room,Ethernet Handoff Type,Minimum Circuit Level,Minimum Quantity to Accept an Order,Special Construction Cost,Customer Unique Key,CB Building Key,Transaction Indicator,Primary NNI Location,Secondary NNI Location,Primary Number,Street Predirection,Street Name,Street Postdirection,Street Suffix,Secondary Designator,Secondary Number,Extra Secondary Designator,Extra Secondary Number,Plus4 Code,Conformed State,Conformed City,Building Notes,Distance Band,LOS Distance 1 Path,LOS Distance 2 Path,ROW Distance 1 Path,ROW Distance 2 Path,LOS Distance 1 Access Point,LOS Distance 2 Access Point,ROW Distance 1 Access Point,ROW Distance 2 Access Point,Comcast Pricing Zone,Indatel Pricing Zone,CenturyLink Pricing Zone,Sprint Pricing Zone,Verizon Pricing Zone,AT&T Pricing Zone,Building Competitive Rating,AT&T Serving Node CLLI,AT&T Unique Key,Pricing Zone,Pricing Type,Wavelength Handoff Type,Wave Zone,Wave Install Interval,Custom Pricing Zone,Lateral Distance,OSP Construction Estimate,OSP Cost per Foot,OSP Cost Zone,Telco_Spend,Tenant_Count,FBL Market ID,MRTL,Territory ID,Pricing Tool,Minimum Contract Value,TCVR,Base Zone,Tenant Band,Telco Spend Band,Active Status,SFDC Access Level,Wave MCV,Mkt-Prof 1,Program Engineering Boundary,Program SWC,MOVAw,MOVAe,Investment Building Eligible,Bundle Tier,SFDC Building Type,Dish Route,Dish 2020,CPQ Ethernet Zone,DASH Eligibility,MKT Rate EVPL 5000,ENNI Eligibility,EPE Approval Code,SWC Status,QM Last Run Date,QM MNO Target,MNO-A ID,MNO-T ID,Dark MCV,MNO-V ID,FRDF Eligible,MDFNp Eligible,FNI,MNO Target,QM FCC ID,SFDC LLOC,FBL Node,FBL Market,FBL Level 6 Demarcs,Texas Express Node,CoStar ID,SFDC Status,SFDC On Off Net,SFDC Building Category 1,SFDC Building Category 2,SFDC Market,SFDC Active Date,SFDC Building Name,SFDC Location Long ID,SFDC Location ID,SFDC Entrance Type,DISH Site ID,TMO Site ID,Sprint Site Id,Verizon Site ID,ATT Site ID,SFDC Building Type.1,NPA- NXX,Ethernet Zone,Horizontal Coordinate,Vertical Coordinate,Protection Type,Handoff Pricing,Diversity Type,Tenant Count,Building Sq Footage,Building Floors,Property Type,Address Status,id,Barriers,Modified Date,Modified By,Status
25063 Kingscote Ct,25063 Kingscote Ct,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.924215,-77.539379,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703,327,236,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,25063,,Kingscote,,Ct,,,,,,,,No,1501+ feet,1793.0,,2828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,delta_new
23078 Welbourne Walk Ct,23078 Welbourne Walk Ct,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.978909,-77.567893,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703,327,236,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23078,,Welbourne Walk,,Ct,,,,,,,,No,1501+ feet,1789.0,,1820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,delta_new
22657 Narragansett Ter,22657 Narragansett Ter,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.989744,-77.484611,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703,723,246,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,22657,,Narragansett,,Ter,,,,,,,,No,1501+ feet,1788.0,,2342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,delta_new
44270 Mercure Cir,44270 Mercure Cir,Sterling,VA,20166,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.989362,-77.475218,,HRNDVASTDS0,,Not Connected,Near Net,Commercial Building,703,265,236,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,44270,,Mercure,,Cir,,,,,,,,No,1501+ feet,1785.0,,2603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,delta_new
42469 John Mosby Hwy,42469 John Mosby Hwy,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.934443,-77.533885,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703,327,236,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42469,,John Mosby,,Hwy,,,,,,,,No,1501+ feet,1783.0,,1845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,delta_new
22031 Ayr Hill Ct,22031 Ayr Hill Ct,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.007146,-77.521223,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703,723,246,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,22031,,Ayr Hill,,Ct,,,,,,,,No,1501+ feet,1781.0,,2371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,delta_new
42952 Val Aosta Dr,42952 Val Aosta Dr,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.998073,-77.514744,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703,723,246,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42952,,Val Aosta,,Dr,,,,,,,,No,1501+ feet,1776.0,,2389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,delta_new
22622 Scattersville Gap Ter,22622 Scattersville Gap Ter,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.989509,-77.488246,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703,723,246,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,22622,,Scattersville Gap,,Ter,,,,,,,,No,1501+ feet,1776.0,,2430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,delta_new
23547 Evergreen Mills Rd,23547 Evergreen Mills Rd,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.974387,-77.557913,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703,327,236,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23547,,Evergreen Mills,,Rd,,,,,,,,No,1501+ feet,1774.0,,2917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,delta_new
43031 Elk Pl,43031 Elk Pl,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.922097,-77.513018,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703,327,236,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,43031,,Elk,,Pl,,,,,,,,No,1501+ feet,1773.0,,2618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,delta_new
